epoch,train_loss,train_acc,val_loss,val_acc,epoch_sec,val_cat_acc,val_dog_acc,val_precision,val_recall,val_f1,val_auroc
1.0,0.6454138786970111,0.6344053212912675,0.6094043278279925,0.6852748504699516,43.90673993900418,0.8211243611584327,0.5485714285714286,0.7529411764705882,0.5485714285714286,0.6347107438016529,0.0
2.0,0.5631727298219609,0.7134924025141881,0.5136844755339507,0.7479350612361151,44.684161860030144,0.8063600227143668,0.6891428571428572,0.7795733678086619,0.6891428571428572,0.7315741583257507,0.0
3.0,0.48500856748252585,0.7715262098004516,0.475316972788227,0.7767017943605811,40.29360294085927,0.8943781942078365,0.6582857142857143,0.8609865470852018,0.6582857142857143,0.7461139896373057,0.0
4.0,0.4360553125243368,0.8038689204857509,0.41233863519216596,0.8114497294218171,42.00033473991789,0.8875638841567292,0.7348571428571429,0.866576819407008,0.7348571428571429,0.795299938157081,0.0
5.0,0.3805758236480209,0.8329163361200952,0.37556022397984945,0.8342352606095129,41.74660409404896,0.8603066439522998,0.808,0.8518072289156626,0.808,0.829325513196481,0.0
6.0,0.34816022992839735,0.8500640751815464,0.38774922457015676,0.8282540586727428,45.774962826864794,0.7353776263486655,0.9217142857142857,0.7758537758537759,0.9217142857142857,0.8425176286236615,0.0
7.0,0.33264010068539074,0.8561664734240556,0.3112162891335041,0.8658501851324409,43.29700827994384,0.825099375354912,0.9068571428571428,0.837467018469657,0.9068571428571428,0.8707818930041152,0.0
8.0,0.2819128758037309,0.8810032342710685,0.30306637545183357,0.8661350042722871,45.85169749101624,0.9102782509937536,0.8217142857142857,0.9010025062656641,0.8217142857142857,0.859533771667663,0.0
9.0,0.2592726441384064,0.8922926710197108,0.3001132596255503,0.8698376530902877,47.20899348217063,0.8881317433276548,0.8514285714285714,0.8832246591582691,0.8514285714285714,0.8670352051207448,0.0
10.0,0.23451469232551989,0.9028498199792518,0.2817568619412189,0.8778125890059812,45.921420434024185,0.871663827370812,0.884,0.8725324309080654,0.884,0.8782287822878229,0.0
11.0,0.21067194944011064,0.9140172087630439,0.3151912501872825,0.8724010253489034,47.65458843996748,0.9045996592844975,0.84,0.8974358974358975,0.84,0.8677685950413223,0.0
12.0,0.19895251331106487,0.9212180386892048,0.26135374561092245,0.8943320991170607,44.421990373171866,0.8960817717206133,0.8925714285714286,0.8951289398280803,0.8925714285714286,0.8938483547925609,0.0
13.0,0.18125148608602226,0.9262220052480625,0.28431785353667643,0.8823696952435204,39.36421653581783,0.899488926746167,0.8651428571428571,0.8953282081608516,0.8651428571428571,0.8799767509444929,0.0
14.0,0.16303391601655493,0.9331787392445231,0.2937422081280624,0.8911990885787525,40.9275415148586,0.8915388983532084,0.8908571428571429,0.8908571428571429,0.8908571428571429,0.8908571428571429,0.0
15.0,0.15416744641826452,0.9395862573991579,0.2920083832754365,0.8829393335232127,41.72358385194093,0.9068710959681999,0.8588571428571429,0.901619676064787,0.8588571428571429,0.8797190517998243,0.0
16.0,0.1318919951165343,0.948190638921096,0.29744865988495,0.8860723440615209,39.7817285771016,0.8779102782509938,0.8942857142857142,0.8792134831460674,0.8942857142857142,0.886685552407932,0.0
17.0,0.1215067975231703,0.9541099652163301,0.2921135741501104,0.8931928225576758,36.46954656508751,0.9114139693356048,0.8748571428571429,0.9075281564908121,0.8748571428571429,0.8908932208321211,0.0
18.0,0.13083121629833425,0.9490449746750473,0.3152092791578091,0.8914839077185986,38.81859476608224,0.8784781374219194,0.9045714285714286,0.8809126321647189,0.9045714285714286,0.8925852833380321,0.0
19.0,0.10350994035840769,0.960029291511564,0.33829642046689645,0.881800056963828,37.216036456869915,0.9256104486087451,0.8377142857142857,0.9179711959924859,0.8377142857142857,0.8760083657006275,0.0
20.0,0.12272625730212754,0.9529505095502533,0.29130936363710364,0.8960410139561379,36.449921953026205,0.8960817717206133,0.896,0.8954882924043404,0.896,0.8957440731219651,0.0
21.0,0.09184385469301425,0.9657045218770977,0.2995020053310973,0.8940472799772144,34.65856469003484,0.8784781374219194,0.9097142857142857,0.8815060908084164,0.9097142857142857,0.8953880764904386,0.0
22.0,0.08487451999839421,0.9672911454201502,0.2925553674271425,0.8994588436342922,34.51913621718995,0.919931856899489,0.8788571428571429,0.9160214413341274,0.8788571428571429,0.8970545348498105,0.0
