epoch,train_loss,train_acc,val_loss,val_acc,epoch_sec,val_cat_acc,val_dog_acc,val_precision,val_recall,val_f1,val_auroc
1.0,0.654562100698071,0.621590284981998,0.5968178467715238,0.6716035317573341,23.535152602940798,0.9449176604202157,0.3965714285714286,0.877370417193426,0.3965714285714286,0.546241637150728,0.0
2.0,0.535469403339362,0.7319826691889912,0.5175059306353322,0.7519225291939619,23.850463934009895,0.7666098807495741,0.7371428571428571,0.7583774250440917,0.7371428571428571,0.7476093885830194,0.0
3.0,0.44708649036380466,0.7892231647037286,0.529424590403726,0.739105667900883,23.924942288082093,0.9011925042589438,0.576,0.8527918781725888,0.576,0.6875852660300136,0.0
4.0,0.38451847620819896,0.8284005614206383,0.4291914885572408,0.8162916547992025,24.58681924198754,0.6893810335036911,0.944,0.7512505684402001,0.944,0.8366675107622183,0.0
5.0,0.33495509726416894,0.8539085860743272,0.5374731349150567,0.7490743377954998,23.882732638856396,0.9721749006246451,0.5245714285714286,0.9493278179937953,0.5245714285714286,0.6757453073242548,0.0
6.0,0.3011287161664958,0.8684322938914993,0.31267825396727783,0.8615778980347479,23.41918412107043,0.8392958546280522,0.884,0.8453551912568306,0.884,0.864245810055866,0.0
7.0,0.2698354722851619,0.8836272655153475,0.3021892745146484,0.8704072913699801,24.848817924037576,0.9392390687109596,0.8011428571428572,0.92909211398277,0.8011428571428572,0.8603866216630868,0.0
8.0,0.2563768870359722,0.8926588149142614,0.2535783648236258,0.89062945029906,23.98751441994682,0.8830210107893243,0.8982857142857142,0.8841394825646794,0.8982857142857142,0.891156462585034,0.0
9.0,0.23833844747412283,0.899005309086471,0.3091992284795967,0.8644260894332099,22.389327357057482,0.9613855763770585,0.7668571428571429,0.9517730496453901,0.7668571428571429,0.8493670886075949,0.0
10.0,0.22800879108071576,0.9054128272411057,0.23068981510736908,0.906294502990601,23.63102586916648,0.8620102214650767,0.9508571428571428,0.8725747246984793,0.9508571428571428,0.9100355482636039,0.0
11.0,0.21371195381759048,0.9110270336242143,0.22157682283197636,0.9085730561093706,22.886670484906062,0.8654173764906303,0.952,0.8754598003152917,0.952,0.9121270188885847,0.0
12.0,0.20628931549358245,0.9146884725697199,0.43628727690492075,0.8222728567359726,21.668744636932388,0.65587734241908,0.9897142857142858,0.7408041060735672,0.9897142857142858,0.8473581213307242,0.0
13.0,0.18830340951199193,0.922621590284982,0.22971697476337316,0.903446311592139,23.31918886001222,0.9528676888131743,0.8537142857142858,0.9473684210526315,0.8537142857142858,0.8981064021641119,0.0
14.0,0.1837981315321146,0.9229267101971075,0.17245578736372397,0.9330675021361435,23.257424460956827,0.9307211811470755,0.9354285714285714,0.9306424104604889,0.9354285714285714,0.9330293530920489,0.0
15.0,0.1680745589443139,0.9293342283517423,0.2110868054122471,0.9145542580461407,22.79571919888258,0.889267461669506,0.94,0.8940217391304348,0.94,0.9164345403899722,0.0
16.0,0.15384582600471292,0.9365960822603283,0.2039337587285266,0.9222443748219881,21.966897051082924,0.9505962521294719,0.8937142857142857,0.9473046638400969,0.8937142857142857,0.9197294913260805,0.0
17.0,0.15321011219561043,0.9372063220845792,0.1829053400393668,0.9259470236399886,23.37996215815656,0.9307211811470755,0.9211428571428572,0.9296424452133795,0.9211428571428572,0.9253731343283582,0.0
18.0,0.1384758350832711,0.9447122719228657,0.22770050646775947,0.9105667900882939,22.987978127086535,0.8676888131743328,0.9537142857142857,0.8774973711882229,0.9537142857142857,0.9140197152245345,0.0
19.0,0.13587144574819596,0.9467260633428938,0.24118634292760896,0.9065793221304471,24.00368673191406,0.9545712663259511,0.8582857142857143,0.9494310998735778,0.8582857142857143,0.9015606242496998,0.0
20.0,0.12900711526630373,0.9476414230792701,0.24106733084634283,0.9134149814867559,23.736021812073886,0.8534923339011925,0.9737142857142858,0.8685015290519877,0.9737142857142858,0.918103448275862,0.0
21.0,0.12457385911101745,0.9494111185695978,0.18933279999926775,0.9253773853602962,21.712973380926996,0.8949460533787621,0.956,0.9004305705059203,0.956,0.9273835920177383,0.0
