epoch,train_loss,train_acc,val_loss,val_acc,epoch_sec,val_cat_acc,val_dog_acc,val_precision,val_recall,val_f1,val_auroc
1.0,0.6284365921988906,0.6486239091963142,0.6769068556713331,0.6567929364853318,39.26629696483724,0.8881317433276548,0.424,0.7902023429179978,0.424,0.5518780215693566,0.0
2.0,0.5304080780454368,0.7383291633612009,0.4926815050529707,0.7636001139276559,39.985174471046776,0.7887563884156729,0.7382857142857143,0.7764423076923077,0.7382857142857143,0.7568834212067956,0.0
3.0,0.4624476203940572,0.7857447977054982,0.42180129647577497,0.8074622614639704,39.017681702040136,0.7859170925610448,0.8291428571428572,0.7937636761487965,0.8291428571428572,0.8110676355505869,0.0
4.0,0.3992923810089632,0.8191249160920242,0.3992539900162729,0.8217032184562802,40.795034043025225,0.8091993185689949,0.8342857142857143,0.8129175946547884,0.8342857142857143,0.8234630569655951,0.0
5.0,0.36099396724134086,0.8412155977299078,0.33405781730190365,0.8481913984619767,42.49464732501656,0.8529244747302669,0.8434285714285714,0.8507204610951009,0.8434285714285714,0.8470588235294118,0.0
6.0,0.3131963764216455,0.8661744065417709,0.31828111878693593,0.8649957277129023,40.599888066994026,0.8404315729699035,0.8897142857142857,0.8471164309031556,0.8897142857142857,0.8678929765886289,0.0
7.0,0.2836311656319943,0.8817355220601697,0.30713417054886355,0.8630019937339789,39.06855819490738,0.8398637137989778,0.8862857142857142,0.8461538461538461,0.8862857142857142,0.8657549539492045,0.0
8.0,0.264389387889037,0.8886312320742051,0.30554116076551857,0.8729706636285959,39.65660103899427,0.8807495741056218,0.8651428571428571,0.8781902552204176,0.8651428571428571,0.8716177317213586,0.0
9.0,0.2287602156565269,0.9063281869774822,0.3159534366373254,0.8672742808316719,39.63103379192762,0.9119818285065304,0.8222857142857143,0.9027603513174404,0.8222857142857143,0.860645933014354,0.0
10.0,0.21676643459837788,0.9123695612375664,0.29451910718295077,0.8735403019082882,45.59083039383404,0.8324815445769449,0.9148571428571428,0.8444092827004219,0.9148571428571428,0.8782227098189797,0.0
11.0,0.1902119914448166,0.9230487581619576,0.2844115367413365,0.888920535459983,41.556396837113425,0.8693923906871096,0.9085714285714286,0.8736263736263736,0.9085714285714286,0.8907563025210085,0.0
12.0,0.18280399832611968,0.9260999572832123,0.3140256151798884,0.8795215038450583,40.45209374791011,0.8875638841567292,0.8714285714285714,0.8850841555426582,0.8714285714285714,0.8782032824647279,0.0
13.0,0.15965590730801432,0.9365960822603283,0.2770997463131063,0.8869268014810595,43.689844720065594,0.8466780238500852,0.9274285714285714,0.8573692551505546,0.9274285714285714,0.8910238814164151,0.0
14.0,0.1411117565939583,0.9444681759931653,0.32457327392833996,0.883224152663059,44.85313235898502,0.8881317433276548,0.8782857142857143,0.8863898500576701,0.8782857142857143,0.8823191733639495,0.0
15.0,0.1342601674705673,0.9478855190089706,0.29451294154633284,0.8855027057818285,50.42556292307563,0.8512208972174901,0.92,0.8600427350427351,0.92,0.8890115958034236,0.0
16.0,0.12371353995205682,0.9524623176908525,0.30710315412349154,0.8894901737396753,47.307893340010196,0.9256104486087451,0.8531428571428571,0.9193349753694581,0.8531428571428571,0.8850029638411381,0.0
17.0,0.1239657663772783,0.9526453896381278,0.31965345651976607,0.8880660780404444,40.32441675895825,0.8603066439522998,0.916,0.866955110870741,0.916,0.8908030008335649,0.0
18.0,0.10995020083508214,0.9588088118630622,0.31261409429938863,0.8929080034178297,38.77434563799761,0.8779102782509938,0.908,0.8808203991130821,0.908,0.8942037141249298,0.0
19.0,0.095822872990125,0.9633856105449442,0.3203413834468027,0.8914839077185986,40.93953928886913,0.8932424758659853,0.8897142857142857,0.8922636103151862,0.8897142857142857,0.8909871244635194,0.0
20.0,0.10617047420215191,0.9607615793006652,0.3216603728134861,0.8966106522358303,40.63531716610305,0.8989210675752414,0.8942857142857142,0.897877223178428,0.8942857142857142,0.8960778700257659,0.0
21.0,0.08662810839812418,0.9666809055958991,0.31095148799121297,0.8960410139561379,41.27179467002861,0.9080068143100511,0.884,0.9052077238150965,0.884,0.8944781728823359,0.0
22.0,0.08211717746645811,0.9700982486117044,0.3155672305038905,0.8937624608373683,38.429582407930866,0.881885292447473,0.9057142857142857,0.8839933073061907,0.9057142857142857,0.8947219870166525,0.0
23.0,0.10002238944216564,0.9603954354061146,0.34027032143741687,0.896325833095984,45.55971402092837,0.8966496308915389,0.896,0.896,0.896,0.8960000000000001,0.0
