epoch,train_loss,train_acc,val_loss,val_acc,epoch_sec,val_cat_acc,val_dog_acc,val_precision,val_recall,val_f1,val_auroc
1.0,0.6569481300683515,0.6140233111612864,0.6905965845627651,0.5710623753916263,40.93628403614275,0.9744463373083475,0.16514285714285715,0.8652694610778443,0.16514285714285715,0.2773512476007678,0.0
2.0,0.6063708662550278,0.6729114542015012,0.6410541007302147,0.643976075192253,40.901722189970315,0.9517319704713231,0.3342857142857143,0.8731343283582089,0.3342857142857143,0.4834710743801653,0.0
3.0,0.5659371135567575,0.7077561481662293,0.6897108385074652,0.6385645115351751,41.41827270691283,0.9676320272572402,0.30742857142857144,0.9042016806722689,0.30742857142857144,0.45884861407249466,0.0
4.0,0.5406062516155983,0.7267346067004332,0.5985169453486456,0.6835659356308744,40.79701091093011,0.9454855195911414,0.42,0.8844765342960289,0.42,0.5695466873304921,0.0
5.0,0.5203809905275516,0.7393665710624275,0.5600426053600208,0.7097692964967246,37.90222789393738,0.9301533219761499,0.488,0.8741044012282497,0.488,0.6263292995966263,0.0
6.0,0.4995879503972376,0.7553548544578019,0.538271550217506,0.7317003702648818,36.24739082995802,0.9329926178307779,0.5291428571428571,0.8869731800766284,0.5291428571428571,0.6628489620615605,0.0
7.0,0.4804665869410031,0.7655458595227924,0.5096417754523539,0.75505553973227,39.82919916394167,0.938671209540034,0.5702857142857143,0.9023508137432188,0.5702857142857143,0.6988795518207283,0.0
8.0,0.4659037413107961,0.778421919814487,0.4470074411828577,0.7866704642551979,38.07314349990338,0.8659852356615559,0.7068571428571429,0.8397827562797013,0.7068571428571429,0.7676078188023581,0.0
9.0,0.4417526334507787,0.7951424909989626,0.4586597834428604,0.7829678154371974,37.2720050229691,0.9256104486087451,0.6394285714285715,0.8952,0.6394285714285715,0.746,0.0
10.0,0.42244996224400067,0.8063098797827546,0.4385056101556043,0.7957846767302763,37.6589874480851,0.9074389551391255,0.6834285714285714,0.8800588668138337,0.6834285714285714,0.7693792216146671,0.0
11.0,0.40291204784855916,0.8180875083907976,0.44798442325813415,0.7863856451153518,37.099782129982486,0.9324247586598523,0.6394285714285715,0.9038772213247173,0.6394285714285715,0.748995983935743,0.0
12.0,0.3866352935019789,0.8269359858424361,0.47250953135888346,0.7841070919965821,38.81227965117432,0.9494605337876206,0.6177142857142857,0.923931623931624,0.6177142857142857,0.7404109589041095,0.0
13.0,0.37474556264078857,0.8309025447000671,0.3932084164000481,0.8194246653375107,35.68368535093032,0.9148211243611585,0.7234285714285714,0.8940677966101694,0.7234285714285714,0.7997473152242578,0.0
14.0,0.35134159532752607,0.843900652956612,0.408561844197273,0.8219880375961265,33.57123977597803,0.9244747302668939,0.7188571428571429,0.9043853342918764,0.7188571428571429,0.8010187838268067,0.0
